AhcpCdbEntryComputeChecksum,,,,, , 
CcTestControl,,,,, , 
FsRtlSyncVolumes,,,,, , 
NtAcceptConnectPort,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
NtAccessCheck,0x0001,0x0001,0x0001,0x0001,0x0001,0x0001
NtAccessCheckAndAuditAlarm,0x0002,0x0002,0x0002,0x0002,0x0002,0x0002
NtAccessCheckByType,0x0003,0x0003,0x0003,0x0003,0x0003,0x0003
NtAccessCheckByTypeAndAuditAlarm,0x0004,0x0004,0x0004,0x0004,0x0004,0x0004
NtAccessCheckByTypeResultList,0x0005,0x0005,0x0005,0x0005,0x0005,0x0005
NtAccessCheckByTypeResultListAndAuditAlarm,0x0006,0x0006,0x0006,0x0006,0x0006,0x0006
NtAccessCheckByTypeResultListAndAuditAlarmByHandle,0x0007,0x0007,0x0007,0x0007,0x0007,0x0007
NtAcquireCMFViewOwnership,,,,, , 
NtAddAtom,0x0008,0x0008,0x0008,0x0008,0x0008,0x0008
NtAddAtomEx,,,,, , 
NtAddBootEntry,0x0009,0x0009,0x0009,,0x0009,0x0009
NtAddDriverEntry,,,,,0x000a,0x000a
NtAdjustGroupsToken,0x000a,0x000a,0x000a,0x000a,0x000b,0x000b
NtAdjustPrivilegesToken,0x000b,0x000b,0x000b,0x000b,0x000c,0x000c
NtAdjustTokenClaimsAndDeviceGroups,,,,, , 
NtAlertResumeThread,0x000c,0x000c,0x000c,0x000c,0x000d,0x000d
NtAlertThread,0x000d,0x000d,0x000d,0x000d,0x000e,0x000e
NtAlertThreadByThreadId,,,,, , 
NtAllocateLocallyUniqueId,0x000e,0x000e,0x000e,0x000e,0x000f,0x000f
NtAllocateReserveObject,,,,,0x0010,0x0010
NtAllocateUserPhysicalPages,0x000f,0x000f,0x000f,0x000f,0x0011,0x0011
NtAllocateUuids,0x0010,0x0010,0x0010,0x0010,0x0012,0x0012
NtAllocateVirtualMemory,0x0011,0x0011,0x0011,0x0011,0x0013,0x0013
NtAlpcAcceptConnectPort,,,,,0x0014,0x0014
NtAlpcCancelMessage,,,,,0x0015,0x0015
NtAlpcConnectPort,,,,,0x0016,0x0016
NtAlpcConnectPortEx,,,,, , 
NtAlpcCreatePort,,,,,0x0017,0x0017
NtAlpcCreatePortSection,,,,,0x0018,0x0018
NtAlpcCreateResourceReserve,,,,,0x0019,0x0019
NtAlpcCreateSectionView,,,,,0x001a,0x001a
NtAlpcCreateSecurityContext,,,,,0x001b,0x001b
NtAlpcDeletePortSection,,,,,0x001c,0x001c
NtAlpcDeleteResourceReserve,,,,,0x001d,0x001d
NtAlpcDeleteSectionView,,,,,0x001e,0x001e
NtAlpcDeleteSecurityContext,,,,,0x001f,0x001f
NtAlpcDisconnectPort,,,,,0x0020,0x0020
NtAlpcImpersonateClientOfPort,,,,,0x0021,0x0021
NtAlpcOpenSenderProcess,,,,,0x0022,0x0022
NtAlpcOpenSenderThread,,,,,0x0023,0x0023
NtAlpcQueryInformation,,,,,0x0024,0x0024
NtAlpcQueryInformationMessage,,,,,0x0025,0x0025
NtAlpcRevokeSecurityContext,,,,,0x0026,0x0026
NtAlpcSendWaitReceivePort,,,,,0x0027,0x0027
NtAlpcSetInformation,,,,,0x0028,0x0028
NtApphelpCacheControl,,,,,0x0029,0x0029
NtAreMappedFilesTheSame,0x0012,0x0012,0x0012,0x0012,0x002a,0x002a
NtAssignProcessToJobObject,0x0013,0x0013,0x0013,0x0013,0x002b,0x002b
NtAssociateWaitCompletionPacket,,,,, , 
NtCallbackReturn,0x0014,0x0014,0x0014,0x0014,0x002c,0x002c
